date,name,value,category
2021-12-31,TSMC,613.5324178566107,AI Infra
2021-12-31,Broadcom,295.674842525952,AI Infra
2021-12-31,Oracle,246.37245557100007,Cloud
2021-12-31,AMD,234.615999,AI Infra
2021-12-31,IBM,119.03665901373243,Cloud
2022-01-31,Microsoft,2250.8569656,Hyperscaler
2022-01-31,Alphabet,1630.8571883319917,Hyperscaler
2022-01-31,Amazon,1605.6619326000002,Hyperscaler
2022-01-31,Meta,789.7262574690869,AI Platform
2022-01-31,TSMC,625.4043277123412,AI Infra
2022-01-31,NVIDIA,595.1746429890638,AI Infra
2022-01-31,Broadcom,260.3333876281947,AI Infra
2022-01-31,Oracle,230.13528411600004,Cloud
2022-01-31,AMD,186.2743425,AI Infra
2022-01-31,IBM,118.95440231560441,Cloud
2022-02-28,Microsoft,2167.0958591999997,Hyperscaler
2022-02-28,Amazon,1648.4834486999998,Hyperscaler
2022-02-28,Alphabet,1627.8813260886977,Hyperscaler
2022-02-28,NVIDIA,592.7228998646034,AI Infra
2022-02-28,TSMC,545.6981194716832,AI Infra
2022-02-28,Meta,532.005146248169,AI Platform
2022-02-28,Broadcom,261.0265618576087,AI Infra
2022-02-28,Oracle,215.41821886200006,Cloud
2022-02-28,AMD,201.0947694,AI Infra
2022-02-28,IBM,110.41653094399722,Cloud
2022-03-31,Microsoft,2236.12451568,Hyperscaler
2022-03-31,Amazon,1749.7672302,Hyperscaler
2022-03-31,Alphabet,1676.2330390417296,Hyperscaler
2022-03-31,NVIDIA,663.3438145300461,AI Infra
2022-03-31,Meta,560.5679965869443,AI Platform
2022-03-31,TSMC,533.7224795167327,AI Infra
2022-03-31,Broadcom,281.6899813284171,AI Infra
2022-03-31,Oracle,234.58753693500003,Cloud
2022-03-31,AMD,178.2690294,AI Infra
2022-03-31,IBM,117.18494857064576,Cloud
2022-04-30,Microsoft,2012.82839595,Hyperscaler
2022-04-30,Alphabet,1375.4048184472854,Hyperscaler
2022-04-30,Amazon,1334.1548418,Hyperscaler
2022-04-30,Meta,505.38346049552405,AI Platform
2022-04-30,TSMC,475.7217945378625,AI Infra
2022-04-30,NVIDIA,450.89430777999917,AI Infra
2022-04-30,Broadcom,248.00986876983,AI Infra
2022-04-30,Oracle,208.94490595500002,Cloud
2022-04-30,AMD,139.4326632,AI Infra
2022-04-30,IBM,119.16471773695449,Cloud
2022-05-31,Microsoft,1976.42795769,Hyperscaler
2022-05-31,Alphabet,1371.2071591041029,Hyperscaler
2022-05-31,Amazon,1290.442329,Hyperscaler
2022-05-31,Meta,488.1650785172508,AI Platform
2022-05-31,TSMC,487.8545855931313,AI Infra
2022-05-31,NVIDIA,453.9328136581786,AI Infra
2022-05-31,Broadcom,259.52452631808507,AI Infra
2022-05-31,Oracle,204.73177742400003,Cloud
2022-05-31,AMD,166.0735626,AI Infra
2022-05-31,IBM,126.65288147222329,Cloud
2022-06-30,Microsoft,1867.1004072,Hyperscaler
2022-06-30,Alphabet,1313.371397375695,Hyperscaler
2022-06-30,Amazon,1140.153729,Hyperscaler
2022-06-30,TSMC,420.22930335813214,AI Infra
2022-06-30,Meta,406.51011625132566,AI Platform
2022-06-30,NVIDIA,368.60630964641877,AI Infra
2022-06-30,Broadcom,219.13124418749172,AI Infra
2022-06-30,Oracle,198.89622508800002,Cloud
2022-06-30,IBM,128.79716403478807,Cloud
2022-06-30,AMD,124.6774527,AI Infra
2022-07-31,Microsoft,2040.91955424,Hyperscaler
2022-07-31,Amazon,1448.674755,Hyperscaler
2022-07-31,Alphabet,1402.042414625063,Hyperscaler
2022-07-31,TSMC,454.82432874899865,AI Infra
2022-07-31,NVIDIA,441.64731633342427,AI Infra
2022-07-31,Meta,401.0899813679746,AI Platform
2022-07-31,Broadcom,241.53518526991357,AI Infra
2022-07-31,Oracle,222.57499037100007,Cloud
2022-07-31,AMD,154.0248327,AI Infra
2022-07-31,IBM,119.31053642909055,Cloud
2022-08-31,Microsoft,1904.87458701,Hyperscaler
2022-08-31,Amazon,1360.863273,Hyperscaler
2022-08-31,Alphabet,1304.4075196428464,Hyperscaler
2022-08-31,TSMC,428.4540629252869,AI Infra
2022-08-31,Meta,410.74538443924644,AI Platform
2022-08-31,NVIDIA,367.0237545015337,AI Infra
2022-08-31,Broadcom,225.12990379798845,AI Infra
2022-08-31,Oracle,212.02391857200004,Cloud
2022-08-31,AMD,138.3728967,AI Infra
2022-08-31,IBM,118.65248284406628,Cloud
2022-09-30,Microsoft,1696.72675248,Hyperscaler
2022-09-30,Amazon,1213.0437,Hyperscaler
2022-09-30,Alphabet,1152.8986307561202,Hyperscaler
2022-09-30,TSMC,354.00022825863437,AI Infra
2022-09-30,Meta,342.0483260339837,AI Platform
2022-09-30,NVIDIA,295.256096031105,AI Infra
2022-09-30,Broadcom,201.9555057232289,AI Infra
2022-09-30,Oracle,174.62309799300004,Cloud
2022-09-30,IBM,109.74726053650096,Cloud
2022-09-30,AMD,103.3027776,AI Infra
2022-10-31,Microsoft,1691.1129762,Hyperscaler
2022-10-31,Alphabet,1139.1588570328142,Hyperscaler
2022-10-31,Amazon,1099.683156,Hyperscaler
2022-10-31,NVIDIA,328.2876739551918,AI Infra
2022-10-31,TSMC,317.80516608729914,AI Infra
2022-10-31,Meta,234.8557049920837,AI Platform
2022-10-31,Oracle,224.38020630000003,Cloud
2022-10-31,Broadcom,213.83239658972767,AI Infra
2022-10-31,IBM,127.74184798721369,Cloud
2022-10-31,AMD,97.9224246,AI Infra
2022-11-30,Microsoft,1863.99649386,Hyperscaler
2022-11-30,Alphabet,1217.2607245180927,Hyperscaler
2022-11-30,Amazon,1036.347246,Hyperscaler
2022-11-30,TSMC,428.45613752727144,AI Infra
2022-11-30,NVIDIA,411.72241589375807,AI Infra
2022-11-30,Meta,297.7292696389554,AI Platform
2022-11-30,Broadcom,250.63368969019746,AI Infra
2022-11-30,Oracle,238.63569270000002,Cloud
2022-11-30,IBM,139.18207217345196,Cloud
2022-11-30,AMD,126.5687283,AI Infra
2022-12-31,Microsoft,1752.06997287,Hyperscaler
2022-12-31,Alphabet,1063.4630830442475,Hyperscaler
2022-12-31,Amazon,901.7316,Hyperscaler
2022-12-31,TSMC,386.3427545449383,AI Infra
2022-12-31,NVIDIA,355.5490123510051,AI Infra
2022-12-31,Meta,303.3762938895165,AI Platform
2022-12-31,Broadcom,256.43985358445474,AI Infra
2022-12-31,Oracle,234.92811660000004,Cloud
2022-12-31,IBM,131.69484317338913,Cloud
2022-12-31,AMD,105.6016557,AI Infra
2023-01-31,Microsoft,1810.4428503,Hyperscaler
2023-01-31,Alphabet,1191.3489483996555,Hyperscaler
2023-01-31,Amazon,1107.090237,Hyperscaler
2023-01-31,TSMC,480.94460503359016,AI Infra
2023-01-31,NVIDIA,475.32408981657954,AI Infra
2023-01-31,Meta,375.5523225919999,AI Platform
2023-01-31,Broadcom,268.30915841287504,AI Infra
2023-01-31,Oracle,254.24200140000002,Cloud
2023-01-31,IBM,125.93687430442701,Cloud
2023-01-31,AMD,122.52531150000002,AI Infra
2023-02-28,Microsoft,1826.77181067,Hyperscaler
2023-02-28,Alphabet,1085.5219643476885,Hyperscaler
2023-02-28,Amazon,1011.549627,Hyperscaler
2023-02-28,NVIDIA,564.8309741110589,AI Infra
2023-02-28,TSMC,451.5889869543264,AI Infra
2023-02-28,Meta,441.02250999694206,AI Platform
2023-02-28,Broadcom,272.5658740296186,AI Infra
2023-02-28,Oracle,251.19546600000007,Cloud
2023-02-28,AMD,128.1176178,AI Infra
2023-02-28,IBM,120.86126213584512,Cloud
2023-03-31,Microsoft,2111.5150186500005,Hyperscaler
2023-03-31,Alphabet,1250.2976342190507,Hyperscaler
2023-03-31,Amazon,1108.807821,Hyperscaler
2023-03-31,NVIDIA,675.9093023804339,AI Infra
2023-03-31,Meta,534.2992498499594,AI Platform
2023-03-31,TSMC,482.44869147228025,AI Infra
2023-03-31,Broadcom,296.3542670613489,AI Infra
2023-03-31,Oracle,267.0604428000001,Cloud
2023-03-31,AMD,159.7964841,AI Infra
2023-03-31,IBM,122.53443815458574,Cloud
2023-04-30,Microsoft,2250.37429965,Hyperscaler
2023-04-30,Alphabet,1293.7984497754937,Hyperscaler
2023-04-30,Amazon,1131.995205,Hyperscaler
2023-04-30,NVIDIA,675.2275863180218,AI Infra
